内容,时间,分词,情感分值,情感类型
寒武纪的鱼,2023-02-20 10:36,寒武纪,0.6397,pos
我爱郑大,2023-02-20 10:45,郑大,0.7038,pos
论文质量还有空间,2023-02-20 10:47,论文 质量 空间,0.9419,pos
天天win是吧,2023-02-20 11:26,天天,0.6638,pos
天天赢😄，怎么还没超越四川大学？,2023-02-20 12:42,天天 超越 四川大学,0.9614,pos
垃圾学校都是天天赢也进不了前二十😄,2023-02-20 12:42,垃圾 学校 天天 进不了 二十,0.0085,neg
你郑哪次不赢！,2023-02-20 17:28,哪次,0.1948,neg
毕业季二手物品交流群：lhlh369,2023-02-20 17:53,毕业 二手物品 交流,0.9239,pos
好好好,2023-02-20 18:09,好好,0.8408,pos
我华水呢,2023-02-21 07:42,我华水,0.5929,pos
赢麻，官公号也天天发，要不是我是这个学校毕业的，还就真信了,2023-02-21 13:11,赢麻 官公号 天天 学校 毕业 真信,0.5577,pos
兄弟姐妹们，考研出成绩了，化学专业有没有人给讲一下老师，球球了#考研成绩#,2023-02-21 15:21,兄弟姐妹 考研 成绩 化学 专业 有没有 老师 球球 考研 成绩,0.7917,pos
大概是毕业前夕，有一个科研助理的事情，导员会给你分析这，分析那。实际上就是学校提高就业率和保证生源，我报名的时候，是按照绩点高低来分的。辅导员讲的是只要进了科研助理考研考本校，过了复试线就要，而且科研助理有一年的工作日程，算到你的研究生里面，只需要上两年就毕业。实际上在8，9月份，会有人让你签个合约，前半年是没有事给你做的，也没有工资，让你专心复习。等到分数下来以后，跟你说其实不是免复试，你还要进行复试，只不过比别人有优势，优势在哪，他也说不上来。最终还是看分数，只能说优点就是免一年上学，其他没了。,2023-02-21 14:00,毕业 前夕 科研 助理 事情 导员会 分析 分析 实际上 学校 提高 就业率 保证 生源 报名 绩点 来分 辅导员 科研 助理 考研 本校 复试线 科研 助理 一年 工作日程 算到 研究生 两年 毕业 实际上 月份 有人 签个 合约 前半年 工资 专心 复习 分数 复试 复试 只不过 优势 优势 说不上来 最终 分数 只能 优点 一年 上学,0.9757,pos
希望各位学长学姐看到后可以联系我一下，真的有偿问答！不要机构，只要学长学姐,2023-02-21 14:38,希望 学长 学姐 真的 有偿 问答 机构 学长 学姐,0.995,pos
路过帮顶,2023-02-21 14:59,路过 帮顶,0.8925,pos
苏承国老师，水利水电专业(主攻风光储等新能源联合调度),2023-02-21 14:48,苏承国 老师 水利水电 专业 主攻 风光 储等 新能源 联合 调度,0.9249,pos
求求材料与化工的学长学姐，查完成绩后对复试很焦虑，想找个学长学姐咨询咨询复试以及导师情况，有偿❤️❤️❤️。,2023-02-21 14:24,求求 材料 化工 学长 学姐 查完 成绩 复试 焦虑 找个 学长 学姐 咨询 咨询 复试 导师 情况 有偿,0.9837,pos
23加油 22复试资料在里面,2022-02-12 02:09,加油 复试 资料,0.8985,pos
复试必胜！,2023-02-21 14:20,复试 必胜,0.9212,pos
救救孩子吧,2023-02-18 13:53,救救 孩子,0.5114,pos
考上了告诉我一声,2023-02-20 18:42,考上 告诉 一声,0.0704,neg
帮顶,2023-02-21 14:08,帮顶,0.9216,pos
23复试资料在里面 24初试加油！,2023-02-12 13:25,复试 资料 初试 加油,0.977,pos
不是pz不是pw不是黄牛，诚信交易，有事去不了了，可走咸鱼！,2023-02-21 10:49,黄牛 诚信 交易 有事 咸鱼,0.2845,neg
不错不错,2023-02-21 13:20,不错 不错,0.9802,pos
求助郑州大学应用心理考研学长学姐，孩子焦虑死啦！或者郑州大学的考研群也行啊啊啊！,2023-02-20 14:54,求助 郑州大学 心理 考研 学长 学姐 孩子 焦虑 郑州大学 考研 群也行 啊啊啊,0.9855,pos
可以介绍,2023-02-20 15:20,介绍,0.7225,pos
不错,2023-02-21 13:20,不错,0.9475,pos
混进来了一个奇怪的东西,2022-12-18 12:54,混进来 奇怪 东西,0.084,neg
一步登天,2022-12-18 13:03,一步登天,0.6501,pos
专业，可免费咨询,2023-02-21 12:16,专业 免费 咨询,0.9859,pos
急求大家帮忙填个调查问卷，我发誓不是广告，不是诈骗，是大学生的作业，要完成不了了😭😭😭😭，谢谢大家,2023-02-21 10:10,急求 帮忙 填个 调查 问卷 发誓 广告 诈骗 大学生 作业 谢谢,0.0148,neg
好似,2023-02-21 12:16,好似,0.3267,neg
三室的房子，郑大北门，结果朋友不考了😭😭😭，现在空出来两间，有没有考试的，一起租住，我是女生，希望都是女生，15660919110,2023-02-21 12:12,三室 房子 郑大 北门 朋友 不考 两间 有没有 考试 租住 女生 希望 女生,0.4817,pos
如题，有学弟愿意出私我就行,2023-01-08 13:19,学弟 出私,0.9635,pos
什么是出入码,2023-01-08 14:12,出入,0.3734,pos
正确的,2023-01-24 17:26,正确,0.9338,pos
现在出入码每天生成不同随机数，每天背景颜色不同，还得闪烁,2023-01-30 02:54,出入 生成 随机数 背景 颜色 闪烁,0.205,neg
楼主进去了吗？怎么操作的，同样想进去跑步的飘过。,2023-02-17 15:51,楼主 操作 跑步 飘过,0.8525,pos
085600材料与化工复试资料需要d我,2023-02-21 11:52,材料 化工 复试 资料,0.5937,pos
好好好,2023-01-31 22:35,好好,0.8408,pos
好，不过我想稍作修改，命郑州大学为985大学。,2023-02-01 16:03,稍作 修改 郑州大学 大学,0.9405,pos
支持,2023-02-02 08:02,支持,0.9827,pos
好好好,2023-02-02 12:23,好好,0.8408,pos
早该这样了,2023-02-03 15:56,早该,0.4427,pos
好好好,2023-02-03 16:41,好好,0.8408,pos
玩原神玩的,2023-02-03 19:34,原神,0.6105,pos
好似,2023-02-03 21:02,好似,0.3267,neg
提前毕业发证,2023-02-04 06:18,提前 毕业 发证,0.8376,pos
md 我还以为是真的,2023-02-04 14:43,真的,0.5236,pos
烂活,2023-02-07 17:48,烂活,0.0196,neg
郑大不过是畸形年代的一个畸形产物，关门也罢,2023-02-09 08:32,郑大 畸形 年代 畸形 产物 关门,0.0021,neg
依托答辩,2023-02-09 11:41,依托 答辩,0.8468,pos
前一阵，老师发不出工资，这事怎么处理的？,2023-02-09 17:29,一阵 老师 发不出 工资,0.1494,neg
有意向私信,2023-02-21 10:29,意向 私信,0.9917,pos
请问一个专业代码下有全日制和非全日制，查分查出的排名是一起排的吗？,2023-02-21 10:26,请问 专业 代码 全日制 非全日制 查分 查出 排名,0.7536,pos
吧友们，收机械制造工艺学复试资料，有的话可以联系我,2023-02-20 19:23,友们 机械制造 工艺学 复试 资料,0.4868,pos
外校生可进郑大不,2023-02-20 21:26,外校 生可进 郑大,0.9089,pos
偷偷进，有时候门口保安会发疯看你的进去码，低调点进,2023-02-20 21:43,偷偷 有时候 门口 保安 发疯 低调 点进,0.0799,neg
看保安心情,2023-02-21 08:26,保安 心情,0.2396,neg
23复试加油 24考研加油！,2023-02-14 13:03,复试 加油 考研 加油,0.991,pos
复试必胜！,2023-02-21 08:10,复试 必胜,0.9212,pos
互通是什么意思,2023-02-20 11:57,互通,0.3337,neg
可以的，扫个码就进来了,2023-02-20 19:41,扫个,0.4542,pos
一哥们捧着花在16楼下快站了一天了~~,2016-05-21 17:04,哥们 楼下 快站,0.6861,pos
好牛逼的感觉,2016-05-21 17:11,感觉,0.6256,pos
圆形广场坐上是几号楼,2016-05-21 17:31,圆形 广场 坐上 几号楼,0.7542,pos
这个爱情看不得坚持不坚持，不喜欢就不可能喜欢，不过坚持下去还不错，会明白的,2016-05-21 17:34,爱情 看不得 喜欢 喜欢 坚持下去 不错 明白,0.9954,pos
照片,2016-05-21 17:35,照片,0.634,pos
这就是年少的时候的爱情吧，或许以后有人为你花大把的钱，可在楼下晒一天的人很少,2016-05-21 17:40,年少 爱情 有人 花大 楼下,0.9021,pos
经过他旁边三次 只能说这孩子真痴情可惜是愚痴,2016-05-21 17:40,旁边 三次 只能 孩子 痴情 可惜 愚痴,0.1322,neg
现在还在，晒黑了都,2016-05-21 17:41,晒黑,0.7148,pos
来来来，图片来了，吧友拍的，,2016-05-21 17:42,来来来 图片,0.2672,neg
给你们上张图,2016-05-21 17:43,张图,0.7696,pos
这哥们还在,2016-05-21 17:43,哥们,0.5103,pos
啧啧啧，都是爱情,2016-05-21 17:46,啧啧 爱情,0.7448,pos
长得怎么样,2016-05-21 17:57,长得,0.5402,pos
那哥们旁边有很多水，看来大家还是蛮有爱心的,2016-05-21 18:04,哥们 旁边 爱心,0.5082,pos
不值得,2016-05-21 18:12,值得,0.9534,pos
"这个6,可以的兄弟",2016-05-21 18:21,兄弟,0.723,pos
为这哥们点赞,2016-05-21 18:30,哥们 点赞,0.9981,pos
毅力💯啊,2016-05-21 18:41,毅力,0.6186,pos
真不是道歉来的?,2016-05-21 19:09,道歉,0.3495,neg
逼婚,2016-05-21 19:10,逼婚,0.503,pos
偶像，换我做不到,2016-05-21 19:23,偶像 不到,0.5655,pos
我就知道扣1有用😭😭😭,2023-02-20 17:45,有用,0.8615,pos
好好好,2023-02-20 18:02,好好,0.8408,pos
发生甚么事了,2023-02-20 19:43,发生,0.2641,neg
个人原因，买错了，换票也可以,2023-02-20 16:19,原因 买错 换票,0.3035,neg
原价出两张588连坐,2023-02-20 21:14,原价 两张 连坐,0.7122,pos
有没有哪个吧友选的也是这个侵权责任法，我在慕课软件里面认证需要那个认证码，但是不知道，这个是要找辅导员问吗？还是什么其他的,2023-02-20 20:22,有没有 友选 侵权 责任法 慕课 软件 认证 认证码 辅导员,0.8626,pos
同问,2023-02-20 20:47,同问,0.5285,pos
六个1，基本上都是这个,2023-02-20 21:04,六个,0.6776,pos
出校门看出入码不,2023-02-19 12:52,校门 出入,0.6958,pos
东门出去不看,2023-02-19 16:52,东门 不看,0.1618,neg
出门不看，入校要看,2023-02-20 19:47,出门 不看 入校,0.1695,neg
请教，大一新生期末考试，考号格式写错了，考号没错，对成绩有影响吗？,2023-02-19 15:43,请教 大一 新生 期末考试 格式 写错 没错 成绩 影响,0.1867,neg
什么是考号格式写错了，是大英吗？问你们老师，应该问题不大,2023-02-20 19:46,考号 格式 写错 大英 老师,0.7116,pos
保卫处是不是会把停在教学区的自行车拉走？,2023-02-19 22:46,保卫处 教学区 自行车 拉走,0.7705,pos
是。往教学区去的路口上都放着牌子写核心教学区不能骑车，为啥还要往里面停,2023-02-20 19:45,教学区 路口 牌子 核心 教学区 骑车 为啥 往里面,0.5483,pos
毕业几年了，想回去看看,2023-02-20 05:32,毕业 几年 回去,0.901,pos
找个在校生要个扫码的截图就行了,2023-02-20 19:42,找个 在校生 要个 扫码 截图 就行了,0.0866,neg
我们实变老师,2023-02-20 19:40,实变 老师,0.8945,pos
哇哦雅迪,2023-02-16 15:43,雅迪,0.5214,pos
有木有人？,2023-02-20 14:32,有木 有人,0.3594,pos
你好，我想买电动车，微信15903687970,2023-02-20 18:03,你好 电动车 微信,0.652,pos
我想问一下期末考试那个考号没按要求写会不会直接零分啊😱 有没有啥办法啊,2023-02-19 12:26,期末考试 考号 写会 零分 有没有 办法,0.0332,neg
不会，有名字，找得到你,2023-02-20 17:48,名字,0.5407,pos
rt，是寄不是收。如果不能寄，那学校里哪里可以寄呢？,2023-02-20 15:57,学校,0.6978,pos
如题 8元一份 我在郑大南校区附近~有意者跟帖 好像不是最新的 但是真题量足够,2023-02-19 15:48,一份 郑大 南校区 有意者 跟帖 好像 最新 真题 足够,0.9924,pos
文件说是2018 7.1起原学位证政策废止 不知道对15级适用不,2019-01-19 22:41,文件 起原 学位证 政策 废止,0.6814,pos
感觉15级夹在新政策和旧政策之间 不知道到底用哪个..,2019-01-19 22:42,感觉 政策 政策 之间,0.2742,neg
问辅导员他说让我问教务处 教务处也没人接电话 醉了,2019-01-19 22:44,辅导员 教务处 教务处 没人接 电话,0.0361,neg
额 有人知道吗,2019-01-19 22:52,有人,0.4071,pos
晚安,2019-01-20 00:07,晚安,0.9862,pos
用进校时的政策,2019-01-20 00:09,进校 政策,0.3548,pos
有用应该是,2019-01-20 01:22,有用,0.8615,pos
15级用以前的吧,2019-01-20 17:34,级用,0.5249,pos
取消清考哪儿开始的，楼主想想,2019-01-20 18:16,取消 清考 楼主 想想,0.3002,neg
15级按以前的，学位重修的都懂,2019-01-20 21:44,学位 重修,0.8884,pos
新政策是挂四科且平均G点2.0以下没学位证,2019-01-20 22:21,政策 四科 平均 学位证,0.6336,pos
那现在15级有没有创新学分？,2019-01-20 22:45,有没有 创新 学分,0.5032,pos
同问？？？,2019-05-04 01:19,同问,0.5285,pos
所以，学长，你们最后按的哪个政策?,2023-02-20 14:54,学长 政策,0.8016,pos
求郑州大学心理专硕学姐学长，孩子要焦虑死啦！,2023-02-20 14:26,郑州大学 心理 专硕 学姐 学长 孩子 焦虑,0.9818,pos
学校不是有🐴,2023-02-20 13:54,学校,0.6978,pos
欢迎各位投递，有郑州的岗位。在科学校区附近赛微产业园。工资也是郑州天花板了，公司有不少郑大校招进来的。,2022-08-30 12:16,投递 郑州 岗位 科学 校区 赛微 产业园 工资 郑州 天花板 公司 大校 招进来,0.1927,neg
华三确实可以，首先考虑易盛吧不行了再去华三,2022-08-30 12:31,华三 确实 易盛 不行 华三,0.0578,neg
只要宇宙机是吧😭😭,2022-08-30 13:39,宇宙 机是,0.2513,neg
求捞,2023-02-18 12:02,求捞,0.3815,pos
积分方程不会，这类型的全空了,2023-02-18 19:33,积分 方程 类型 全空,0.8969,pos
微积分II更恶心,2023-02-18 21:24,微积分 恶心,0.0143,neg
同学给我发一下学号姓名，我留意一下,2023-02-19 08:51,同学 给我发 姓名 留意,0.1687,neg
建议用这个,2023-02-19 22:23,建议,0.5155,pos
友友们，我是工大的，可以进来郑大吗？,2023-02-20 10:59,友友 工大 郑大,0.8844,pos
借个号扫码就能进,2023-02-20 11:57,借个 扫码,0.6362,pos
支持楼主打∠，楼主一年打365天不在话下，,2023-02-15 22:57,支持 楼主 楼主 一年 不在话下,0.9958,pos
什么超人，连续212天还那么浓,2023-02-15 23:05,超人 连续,0.7557,pos
玩原神玩的,2023-02-15 23:38,原神,0.6105,pos
这个是多老的新闻了,2023-02-15 23:47,新闻,0.0837,neg
年轻就是好啊,2023-02-16 08:04,年轻,0.7794,pos
邪淫,2023-02-16 08:14,邪淫,0.5175,pos
谁家女孩叫牛大荣啊,2023-02-16 10:22,谁家 女孩 牛大荣,0.2377,neg
机关枪啊，不怕炸膛了用不成了？,2023-02-16 17:49,机关枪 炸膛,0.3619,pos
你可以试试喵,2023-02-16 20:56,试试,0.7307,pos
输麻了,2023-01-27 21:02,输麻,0.4489,pos
输输输,2023-01-27 21:23,输输,0.6587,pos
别急别急，我们可能是那部分中风险大学没有被列出来的，这下又可以赢了,2023-01-27 22:00,别急 别急 风险 大学 列出来 这下,0.1943,neg
戳辣，郑带是高风险地区,2023-01-27 23:12,郑带 高风险 地区,0.7425,pos
大连民族大学是高风险？？就是因为有个民族是吧,2023-01-28 00:52,大连 民族 大学 高风险 有个 民族,0.7831,pos
什么dinner竟然还会做EXCEL,2023-01-28 12:07,还会,0.9149,pos
河科大都中风险，输,2023-01-28 12:08,河科 风险,0.1549,neg
无锁胃，我是FW,2023-01-28 12:17,无锁,0.1432,neg
卧槽，隔壁沈理这么牛？,2023-01-28 15:07,卧槽 隔壁 沈理,0.0181,neg
郑带收到🇺🇸人的认可，可以去留学了，win,2023-01-28 16:25,郑带 收到 认可 留学,0.9654,pos
杭电没有威胁，可以给霉菌带路,2023-01-28 16:31,杭电 威胁 霉菌 带路,0.0408,neg
有白衣在，任何霉菌都将被绳之以法,2023-01-29 02:48,白衣 霉菌 绳之以法,0.0113,neg
郑大不是大专吗,2023-01-29 13:26,郑大 大专,0.7629,pos
清北都不算啥威胁,2023-01-30 14:35,清北 不算 威胁,0.017,neg
QQ好友求加：3518697170。可聊天可解闷！,2023-01-31 19:30,好友 求加 聊天 解闷,0.2143,neg
给郑✌请安了,2023-01-31 19:56,请安,0.3934,pos
这多好，打不到咱这,2023-02-08 15:30,这多 不到,0.2173,neg
有没有公共管理学院国际政治科目的学长学姐呀，想问下考试要看的专业书,2020-10-12 12:45,有没有 公共 管理 学院 国际 政治 科目 学长 学姐 问下 考试 专业书,0.9517,pos
真题资料也可。对这个专业感兴趣，想考这个。辛苦学长学姐了,2020-10-12 12:46,真题 资料 专业 感兴趣 想考 辛苦 学长 学姐,0.9982,pos
滴滴,2020-10-13 21:30,滴滴,0.2777,neg
请问楼主上岸了吗，祝好，我也是24郑大国际政治专业考研人，求学长学姐交流,2023-02-20 09:12,请问 楼主 上岸 祝好 郑大 国际 政治 专业 考研 求学 学姐 交流,0.9957,pos
咱们什么时候升大学啊改名啊🤔看省内高校最近都在关注这个,2023-02-19 20:22,大学 改名 省内 高校 关注,0.6523,pos
醒醒咱们是驾校,2023-02-19 21:43,醒醒 驾校,0.0422,neg
郑穆斯特丹大学改名在进行了,2023-02-20 00:53,穆斯 特丹 大学 改名,0.3499,neg
本人在惠济区双桥花卉市场，想找学校内的同学在校内摆摊卖花，花筒板车包括鲜花我可以提供，有兴趣的可以找我聊聊，手机号:18053866001（同微信）,2023-02-19 23:24,惠济 双桥 花卉市场 学校 同学 校内 摆摊 卖花 花筒 板车 包括 鲜花 提供 兴趣 聊聊 手机号 同微信,0.9839,pos
随便进,2023-02-19 17:30,随便,0.2242,neg
欢迎学长,2023-02-19 19:31,学长,0.9262,pos
烧麦,2023-02-19 18:52,烧麦,0.4904,pos
新校区附近合租啦。有兴趣聊一聊哈哈哈,2023-02-19 18:14,校区 合租 兴趣 聊一聊 哈哈哈,0.9579,pos
兄弟们，问一下咱线代有平时分么,2023-02-19 11:58,兄弟 咱线 代有 平时,0.6894,pos
不知道啊 有的人说有2.30分 有的人说没有 搞不清楚,2023-02-19 17:13,搞不清楚,0.0931,neg
就业平台上好像给的7~10k,2023-02-15 14:57,就业 平台 好像,0.6072,pos
硕士10K。。。,2023-02-15 17:09,硕士,0.6069,pos
顶一下,2023-02-15 23:19,顶一下,0.841,pos
哪里的？郑州的么,2023-02-16 00:06,郑州,0.7984,pos
真不错啊,2023-02-16 08:05,真不错,0.9839,pos
招聘条件上说10k，那是不是实际到手就每月5k了,2023-02-17 11:43,招聘 条件 到手 每月,0.6468,pos
转正薪资多少啊,2023-02-17 18:20,转正 薪资,0.438,pos
有没有人出校级学术报告登记表的，急求，有偿买,2023-02-19 16:44,有没有 人出 校级 学术报告 登记表 急求 有偿,0.4465,pos
时间周日，两个小时，地点金水区正弘城，有意私聊，讲的好价钱不会少,2023-02-18 22:01,时间 周日 两个 小时 地点 金水区 正弘城 有意 私聊 价钱,0.9567,pos
顶一下,2023-02-19 13:19,顶一下,0.841,pos
8u🚪，学校里面配眼镜靠谱不，坑不坑。,2023-02-19 12:48,学校 配眼镜 坑不坑,0.075,neg
孩子初一，需要补习！需要勤工俭学的大学生私聊:17537120567微信同步,2023-02-19 10:33,孩子 初一 补习 勤工俭学 大学生 私聊 微信 同步,0.9864,pos
这附近有拳馆没啊，,2023-02-19 10:27,拳馆,0.8472,pos
同问,2023-02-19 07:53,同问,0.5285,pos
🐭🐭是北区的，过两天就要考复变函数了，但是还是没有这一门的白皮书，能不能救救🐭🐭啊😭😭😭😭😭，电子版，照片啥的都行😭😭😭😭😭,2023-02-18 01:36,北区 两天 复变 函数 一门 白皮书 救救 电子版 照片 都行,0.9265,pos
求求惹😭😭😭😭,2023-02-18 16:46,求求,0.7164,pos
我也要完蛋了😭😭😭,2023-02-19 01:07,完蛋,0.0507,neg
可以今天有好多小学生和大人拍照,2023-02-18 17:25,好多 小学生 大人 拍照,0.8433,pos
已经毕业的学生可以进去吗？,2023-02-18 23:25,毕业 学生,0.7174,pos
好像可以了,2023-02-19 00:08,好像,0.5312,pos
我们学校的英语容易挂科嘛,2023-02-18 23:15,学校 英语 挂科,0.8997,pos
谢邀，不知道捏,2023-02-18 23:40,谢邀,0.5704,pos
我进去办点事。,2023-02-17 17:59,办点,0.4209,pos
有人吗？,2023-02-17 18:27,有人,0.4071,pos
同问,2023-02-18 23:26,同问,0.5285,pos
深圳某迪新能源车企招聘工程师，要求211或者985工科毕业生(23届应届毕业生)，7000到11000元(具体根据专业来定)。要求：挂科不能超过3门，不能清考，英语4级425分以上。,2022-09-19 16:28,深圳 某迪 新能源 车企 招聘 工程师 工科 毕业生 应届 毕业生 专业 来定 挂科 超过 清考 英语,0.9839,pos
比亚迪,2022-09-19 23:40,比亚迪,0.7859,pos
我这挂五科能去不,2022-09-19 23:40,五科,0.4833,pos
深圳比亚迪这钱谁去啊？一线城市的制造业开这点钱？血汗工厂真不是白吹的。,2022-09-21 10:06,深圳 比亚迪 这钱 一线 城市 制造业 血汗 工厂 白吹,0.1109,neg
还有没有？要求会越来越高的,2023-02-17 16:19,越来越,0.7061,pos
如题，收一张瑜伽健身卡,2023-02-18 21:46,一张 瑜伽 健身卡,0.4311,pos
每天提供兼职信息，加cainiaoyz105，正规兼职，广告人员勿扰。,2023-02-14 16:41,提供 兼职 信息 正规 兼职 广告 人员 勿扰,0.2284,neg
您好，我们店在工大西门对面，招聘一名前台主要负责刷卡工作，全部利用课余时间，您看方便么。,2023-02-14 18:50,您好 店在工 大西门 对面 招聘 一名 前台 负责 刷卡 工作 利用 课余时间,0.136,neg
有业余时间的，可以联系我,2023-02-17 11:01,业余时间,0.0798,neg
暑假工做吗,2023-02-18 21:04,暑假 工做,0.8343,pos
22级新生今天无机化学补考了，现在很担心自己能不能过😂😂😨😨,2023-02-18 16:13,级新生 无机化学 补考 担心,0.1501,neg
两三周吧,2023-02-18 20:39,三周,0.7014,pos
化院的？那你有福了，19级表现得很差劲，臧院长下决心要好好整顿下面的几届。,2023-02-18 20:39,化院 表现 差劲 院长 下决心 好好 整顿 几届,0.0087,neg
郑大土木研究生导师岩土与地下方向选哪个导师好点，有没有需要避坑的,2023-02-18 19:02,郑大 土木 研究生 导师 岩土 地下 方向 导师 好点 有没有 避坑,0.3023,neg
想用美团优选买点水果啥的，哪位微信群能拉我一下吗,2023-02-18 18:37,想用 美团 优选 买点 水果 哪位 微信 群能,0.7824,pos
速度7月份左右授权,2023-02-18 18:10,速度 月份 授权,0.7778,pos
郑州大学美团优选校内自提点，可送货到宿舍楼下，需要的的同学可以加群,2022-09-12 01:34,郑州大学 美团 优选 校内 自提点 送货到 宿舍楼 同学 加群,0.863,pos
码过期了，还能加吗,2023-02-18 17:51,过期 能加,0.2053,neg
郑州大学有刷鞋的地方吗,2023-02-18 16:50,郑州大学 有刷 地方,0.6565,pos
想问下心理咨询中心是否接受校外咨询，咨询中心老师的电话是多少,2022-08-25 11:27,问下 心理咨询 中心 接受 校外 咨询 咨询中心 老师 电话,0.9856,pos
在20年疫情以前，学校自由出入的时候，晚上有返校时间限制吗？可不可以不申请直接夜不归宿,2023-02-08 10:30,疫情 学校 自由 出入 晚上 返校 时间 可不可以 申请 归宿,0.9634,pos
以前没人管你归不归，根本没人申请，经常莲花市场整夜ktv上网。返校时间的话，我记得是到了太晚的时候，校门可能关了,2023-02-08 10:38,没人管 申请 莲花 市场 整夜 上网 返校 时间 记得 太晚 校门,0.2638,neg
求租北校一卡通，要二战了,2023-02-08 17:34,求租北校 一卡通 二战,0.6624,pos
疫情也没管过夜不归宿啊，你见过宿管查房吗,2023-02-12 02:37,疫情 没管 过夜 归宿 宿管 查房,0.2054,neg
没有吧，本科时候住荷园没门禁，北门上网上到一点多还能从北门刷卡进来，然后回宿舍睡觉，夜不归宿也没人管,2023-02-12 15:48,本科 荷园 门禁 北门 网上 一点多 北门 刷卡 宿舍 睡觉 归宿 没人管,0.713,pos
没有，不会宿舍没事,2023-02-12 15:48,宿舍 没事,0.7831,pos
以前胆子够大，一学期不上课去旅游都没问题,2023-02-12 18:58,胆子 学期 上课 旅游,0.5848,pos
别死就行,2023-02-13 01:35,别死,0.5688,pos
寻找在校大一学生，辅导高中语数外，可线上辅导，价格可谈，QQ：2535210224,2023-02-18 15:17,寻找 在校 大一 学生 辅导 高中 语数外 可线 辅导 价格 可谈,0.855,pos
想咨询一下这个单位的水利部待遇怎么样？建议去吗？,2023-02-18 13:30,咨询 单位 水利部 待遇 建议,0.6058,pos
要找工作了，不知道有没校友在河南省交通规划设计研究院工作,2017-10-22 22:48,工作 校友 河南省 交通 规划设计 研究院 工作,0.9468,pos
他没来咱学校啊,2017-10-22 22:56,没来 学校,0.2685,neg
轨道的吧😊！,2017-10-22 23:36,轨道,0.3743,pos
待遇一般,2017-11-22 22:50,待遇,0.3198,neg
楼主签了吗,2018-01-16 16:38,楼主,0.9123,pos
想了解，可以私信我,2018-06-29 10:14,私信,0.9766,pos
我在里面呆了半年就出来了,2018-07-02 16:03,半年,0.7141,pos
辣鸡单位，千万不要来,2018-09-03 10:34,辣鸡 单位,0.6389,pos
省院挺好的，起码在河南省找不到第二家能比省院好的单位，我说的是做交通设计这块的！去那里都要努力，公司只是提供一个平台，关键还在于个人,2019-07-05 11:38,省院 起码 河南省 不到 第二家 能比 省院 单位 交通 设计 这块 努力 公司 提供 平台 关键,0.973,pos
文化路那个？,2019-10-19 16:54,文化路,0.6286,pos
有一句话说，所有的省院待遇都不错(除了河南省院)。,2021-12-18 20:15,一句 省院 待遇 不错 河南省,0.7947,pos
想问下如果签约了毁约容易吗，会一直拖着拖很久吗,2023-01-11 16:30,问下 签约 毁约,0.3022,neg
有老哥知道郑大水院研究生在哪个校区吗？,2023-02-18 10:12,老哥 大水 研究生 校区,0.9535,pos
有没有一种可能是我在开热点,2023-02-13 11:20,有没有 一种 热点,0.5173,pos
有没有一种可能这是私人热点的名字,2023-02-13 19:29,有没有 一种 这是 私人 热点 名字,0.2862,neg
找到了，谢谢哈,2023-02-18 10:00,找到 谢谢,0.9761,pos
老师一般会发一个单词总结的,2023-02-17 15:38,老师 会发 单词,0.7184,pos
同志们，最近路上怎么这么多留学生出现，而且物理管好多留学生上课。整个楼道全是好难闻的香水味啊,2023-02-16 15:52,同志 路上 留学生 物理 管好 留学生 上课 楼道 全是 难闻 香水味,0.0138,neg
这是你的福报,2023-02-16 15:54,福报,0.7865,pos
那个香水味着实受不了，每次经过都感觉刺鼻,2023-02-16 21:18,香水味 着实 受不了 每次 感觉 刺鼻,0.0281,neg
黑人香水喷的多，其他还好，,2023-02-17 12:22,黑人 香水 还好,0.6832,pos
物理馆遇到好多次外国人,2023-02-17 16:05,物理 外国人,0.7727,pos
为什么不洗澡呢,2023-02-18 02:23,洗澡,0.394,pos
我遇到过不喷的，熏了我一节课,2023-02-18 08:58,一节课,0.6329,pos
高三自读男生，需陪读家教。要求：今年大一学生，高考分数600以上，男生最好。高薪诚聘，可电话详谈，17513280629，赵。,2023-02-18 08:09,高三 自读 男生 陪读 家教 大一 学生 高考 分数 男生 高薪 诚聘 电话 详谈,0.9434,pos
室友天天看塔菲七海阿梓外放，我是夹心糖给我恶心坏了，我该如何制裁他？,2023-02-17 11:04,室友 天天 看塔菲七海 阿梓 外放 夹心糖 恶心 我该 制裁,0.0042,neg
玩原神,2023-02-17 14:44,原神,0.6105,pos
二刺猿丨,2023-02-17 16:55,二刺,0.6105,pos
趁他上厕所把他关注列表全取关拉黑，然后关注渣然,2023-02-18 01:27,厕所 关注 列表 全取 关拉黑 关注 渣然,0.5851,pos
本人女，作息正常，租郑大南校区床位校园卡，用于学习，最好安静点儿的。价格好商量，有意者私我，可以在老校区门口交易哦,2023-02-17 21:55,作息 郑大 南校区 床位 校园卡 用于 学习 安静 点儿 价格 商量 有意者 校区 门口 交易,0.9878,pos
来个银儿呗～,2023-02-17 22:08,来个 银儿,0.7621,pos
顶一下,2023-02-17 22:18,顶一下,0.841,pos
我顶顶顶,2023-02-18 06:13,顶顶顶,0.8394,pos
新生一定要加社团吗 小白啥也不懂啊 有没有懂哥细🔒,2022-10-05 15:07,新生 要加 社团 小白 有没有 懂哥细,0.828,pos
