内容,时间
🐭🐭上次在学校吃早饭还是隔离餐,2023-02-22 19:11
一起聊聊,2023-02-22 19:35
3,2023-02-22 19:36
开学了吗。能外出吗？考研合租吗？,2023-02-18 21:08
已经毕业的还可以进去吗？急求,2023-02-18 23:29
你要找合租的一块学习吗？,2023-02-19 07:20
要不咱俩合租吧,2023-02-19 07:20
24考研资料持续更新ing☛苇❤️kaoyango23,2023-02-19 19:09
翰林国际孔园，家电齐全拎包入住，房东直租价低免纠纷，请联系🐧🐧491177964，祝学弟学妹们生活愉快！,2023-02-20 15:53
打扰了，出租次卧，自己房子，无中介费，郑州大学家属院，视野好，采光好，地铁口，盛和苑西门过马路就到郑州大学！拎包入住！24小时热水，空调家具家电齐全…wifi免费！15903627898  ，谢谢,2023-02-21 10:00
蹲一个水工结构的学姐，推荐一个好一点老师。鼠鼠求求了呐,2023-02-22 15:51
不知道，帮顶,2023-02-22 19:14
,2023-02-22 18:13
Up,2023-02-22 18:13
这种驾照能开啥车啊,2023-02-22 16:57
手动挡，自动挡，三轮车,2023-02-22 17:50
不知道，我只有D,2023-02-22 17:50
,2023-02-22 17:17
,2022-12-26 19:48
请问你收到郑州兴航科技的offer了吗,2022-12-30 10:01
想咨询一些问题，有偿,2023-02-22 17:09
今年考的化工专硕，排名17，有没有学长学姐给推荐一下导师呀，最好能介绍一下老师的性格~,2023-02-22 17:02
蹲一个化工学院化学工程学长或学姐，求导师推荐,2023-02-21 18:37
同求   材料与化工  排名41,2023-02-21 18:42
蹲,2023-02-22 14:06
蹲,2023-02-22 16:57
如题，我今年报本校的超算，想问下各位学长或者学姐具体导师和上课等问题,2023-02-22 16:56
"RT,鼠鼠被无线网折磨坏了，又听说下学期要拆宽带就没办宽带了",2023-02-22 16:18
蹲文博专业文化遗产方向的学长学姐，想请教一些问题，其他方向的也🉑,2023-02-22 16:11
,2023-02-22 15:31
校外人员， 对网络安全感兴趣。目前自学网络安全，0 基础。 想找一位本专业的同学 拜师学习。愿意付费,2023-02-22 13:15
你不如来学校蹭课,2023-02-22 13:41
来郑带蹭课呗,2023-02-22 13:41
学长学姐总结的近3年的资料，包含专业课，政治，英语，自我介绍，以及收集的往年真题等,2023-02-21 15:57
+v16653315478,2023-02-22 15:30
有力学与安全学院，资源与环境研究生学长学姐吗？有偿买考研资料,2021-04-09 21:12
我上岸了资源与环境的，专业课代码955安全工程基础。,2021-04-11 12:27
我今年力学院上岸，建议别买真题，不知道哪搞的题就说是真题，小心被骗,2021-04-11 23:50
,2021-04-12 09:52
着急，在线等，学长学姐看过来，看过来，准备考报考贵校的 086100交通运输硕士，专业课是984工程力学。或者085700资源与环境硕士，专业课是955安全工程基础，有没有了解的学长学姐给下经验需要什么水平可以上，还有复习资料。,2019-09-15 13:38
好好复习就行，不用想太多,2019-09-19 09:37
我是安全工程的学长，955安全基础的，你有什么问题吗？,2019-09-19 17:41
保利文化广场跃层，自己家的出租,2023-02-22 14:45
1100，一个月，物业费我们缴,2023-02-22 14:46
想看了可以加我微信15517551552,2023-02-22 14:46
篮球社还收人吗？有没有群,2023-02-22 14:22
1,2023-02-22 14:40
想蹲一下水利工程的学长学姐，有些复试和导师的问题想咨询一下，可有偿,2023-02-22 14:37
私信哦,2023-02-22 14:29
第一次重修没过，第二次重修及格线还是70吗？会加码到80吗？,2023-02-21 17:00
60分就是及格，和重修补考没关系的,2023-02-21 22:40
教务系统进不去啊啊啊啊啊，又崩了？,2023-02-22 14:15
,2023-02-22 14:03
给孩子说一下各个老师性格，谢谢了,2023-02-22 14:00
解决大家学校里做头发不好看的问题,2023-02-22 13:55
一直都想找学长咨询问题，线上导致我还什么都不懂，,2023-02-09 10:10
我怎么听到有人说计算机技术基础（双语版）的是开卷考试啊，应该不太可能吧,2023-02-09 10:11
专业课什么时候考试有消息了吗，有点慌啊。,2023-02-09 10:13
计算机院吧,2023-02-09 12:48
我带你,2023-02-18 08:49
有没有计算机技术基础往年的卷子啊,2023-02-22 13:47
有无物理学院仪器仪表工程的学姐学长可以给孩子推荐一下导师,2023-02-22 13:46
计算机科学与技术，今年多少分呢求分享,2023-02-22 13:30
这下再也不用担心概率论会挂了,2023-02-21 22:12
这就是o给我的自信,2023-02-21 22:13
,2023-02-21 22:13
然后我考完了现在在学数理统计,2023-02-21 22:56
快让我品鉴一下,2023-02-21 23:35
从概率论到数理统计到随机过程到自闭,2023-02-22 04:29
他的速成讲的还行,2023-02-22 07:40
呕批，我超,2023-02-22 12:38
昨天去上课 看到这张图片,2023-02-22 07:09
,2023-02-22 07:45
蒸馍，你不扶器？,2023-02-22 07:46
今天不都是网课吗？,2023-02-22 07:59
哪次不是这样,2023-02-22 08:17
,2023-02-22 10:53
,2023-02-22 12:31
,2023-02-22 12:27
想联系个网安的学长，想要咨询点问题,2023-02-22 09:09
研究生？,2023-02-22 11:10
想找仪器仪表工程的研究生学长学姐咨询一下复试和导师的有关情况，谢谢。,2023-02-22 11:51
,2023-02-20 20:34
23复试资料在里面 24考研加油！,2023-02-21 01:59
,2023-02-21 02:00
主校区均可,2023-02-22 11:38
有没有通信的研究生学长学姐,2023-02-22 11:13
现在文化理科420 体育148+有机会郑州大学吗,2023-02-22 11:01
,2023-02-22 10:58
好像是因为社会声誉把化工A-拿了，评估还是B+,2023-02-22 09:10
,2023-02-22 09:39
,2023-02-22 09:51
,2023-02-22 09:58
郑大听说3A类了,2023-02-22 10:03
顶真？,2023-02-22 10:09
“听说”“好像”,2023-02-22 10:55
,2023-02-22 10:03
,2022-05-07 14:47
,2022-05-08 02:43
23复试资料在里面 24考研加油！,2023-02-22 10:53
咨询一些问题，求！！！,2023-02-21 23:59
如果有条件或者有意向找学长学姐辅导，可以去报个那种直系学长1对1的班，就是你报考学校的研究生学长来辅导你，我就是在浩学考研学习的，安排的是直系高分学姐一对一指导的，上课前看证件，真题资料都是学姐给我邮寄过来的，性价比挺高的，因为跨城市考，距离目标学校有点远，就上了直播一对一，还可以回放，上课也有重难点，平时也有班主任督学，对于公共课当时除了分享视频给我，还送了公共课资料和刷题题库，像政治主流老师的押题都有，英语也有真题和长难句分析，用起来很好，我当时报的是浩学考研，你也可以百度去他们官网了解。,2023-02-22 09:30
求力学与安全工程学院的学长学姐，想问一下关于研究生复试的问题~,2022-02-24 08:55
,2022-02-26 18:18
私聊,2022-02-26 18:25
,2022-04-02 18:51
请讲,2022-04-02 23:56
你说,2022-04-03 17:57
有没有先进院电子信息的学长学姐啊，我想问一下先进院的复试大概流程。,2023-02-22 10:28
,2023-02-22 10:21
,2023-02-21 18:15
有人知道吗？,2023-02-22 09:35
,2023-02-22 09:33
,2023-02-21 18:16
顶,2023-02-21 19:24
滴滴,2023-02-22 09:12
考研的同学们很多时间都用在找资料上面。有几百的也有几十块的，也有十几块的，我感觉其实内容都差不多，最实惠的就是关注公众号（金榜资料），里面资料和网盘里都是一样的还免费何乐而不为呢,2023-02-22 08:54
,2023-02-18 11:25
运动鞋呀，布鞋都可以。,2023-02-18 11:25
,2023-02-20 22:40
好的，鞋子啊。,2023-02-22 08:47
纠结死了 请学长支招哪个好啊。。。,2013-08-09 13:36
来人啊,2013-08-09 13:37
建筑学,2013-08-09 13:37
求救啊,2013-08-09 13:37
来人啦 求救,2013-08-09 13:39
楼主现在咋样了,2023-02-22 08:44
专业课考的太差了,2023-02-21 21:23
记得去补考,2023-02-21 21:36
记得重修,2023-02-21 22:07
记得交钱,2023-02-21 22:07
补考呗,2023-02-22 08:17
挂,2023-02-22 08:22
,2023-02-22 08:00
,2023-02-21 17:22
顶,2023-02-21 18:15
救救孩子,2023-02-22 05:45
让郑带🐭🐭也赢赢,2023-01-03 18:31
输   可以发邮件问问郑大学科建设处,2023-01-03 18:52
蹲个结果,2023-01-03 19:16
cy,2023-01-03 19:20
jyb让保密，这几天看吧里的消息是2个或3个A-，14个B+,2023-01-03 23:07
学科评估已经算黄了吧,2023-01-04 08:21
不是说2a-，1b+吗，反正win就完事了,2023-01-04 10:12
保密了，不让说了。,2023-01-04 12:56
赢了就行,2023-01-04 13:36
私我留qq我 一个一个加,2023-02-21 22:34
老师需要提前联系吗，有明白的可以讲讲，到学校请你吃饭，今天太煎熬了,2023-02-21 20:28
学长今年情况咋样,2023-02-21 20:43
恭喜🎉,2023-02-21 21:16
你考的学硕还是专硕啊,2023-02-21 22:14
,2021-08-16 20:34
你上岸了吗同学,2023-02-21 22:03
定向选调生进面的小伙伴来,2023-02-21 21:48
面试交流，老师指导，可试听，加v15660159511,2023-02-21 21:49
想考完试带着室友去玩玩，金水路店和未来路店哪个好、我看未来路店要贵40块、好纠结,2023-02-13 22:08
开因怕不喊我是吧😡,2023-02-13 22:35
开impart不叫我是吧😡,2023-02-13 22:43
洗个澡一两百？,2023-02-13 22:53
开impart不喊我,2023-02-13 23:20
金水路的一般，里面设施不齐,2023-02-13 23:46
开impart不喊我,2023-02-14 00:15
不知道,2023-02-14 06:58
,2023-02-14 07:53
impart是吧,2023-02-14 08:09
我的评价是不如汤悦温泉,2023-02-14 09:07
不叫我？,2023-02-14 15:20
出来喝酒可以私我订台哦,2023-02-15 14:23
,2023-02-16 23:35
去你家,2023-02-21 21:16
八号楼赢麻麻，给红专路一点小小的北区震撼,2023-02-20 12:36
去吃小肥羊咯,2023-02-20 12:36
校外人员可以进吗,2023-02-20 14:24
不是全天开放我不是很认可,2023-02-20 15:39
好耶,2023-02-21 01:18
富哥v50,2023-02-21 21:09
计算机基础题库在哪看啊，鼠鼠找不到，马上就要考试了,2023-02-21 20:55
如题😭😭😭😭能追到什么程度,2022-06-24 15:00
我85追到64结果刚才一个专业课寄了成75了😭😭😭,2022-06-24 15:28
不好追,2022-06-24 17:44
"从后往前好进,从中往前难进",2022-06-24 17:46
不好追，加油吧。一切皆有可能。,2022-06-24 18:21
下学期均绩3.7，然后排名没怎么动，你说好追吗,2022-06-24 18:47
别放弃，一切皆有可能。要看学院保研政策，我们学院不挂科和过四六级是基本。可能到最后一学期，保研资格才能见分晓。,2022-06-24 18:51
只会越来越摆。认清自己吧,2022-06-24 19:51
得看专业，机械能追回来,2022-06-24 23:12
字词正义开摆,2022-06-25 12:19
要看你寄发哦什么程度,2022-06-25 14:18
追不回来,2022-06-26 01:16
寄了,2022-06-26 10:15
你不会是物理学院的吧🧐,2022-07-04 03:14
绩点1.几,2023-02-19 19:28
我大一90名，努力学了两年40名，很难的,2023-02-21 20:12
,2023-02-21 16:37
,2023-02-21 17:09
快跑！,2023-02-21 20:14
,2022-11-25 00:24
,2022-11-25 00:51
润到家了,2022-11-25 07:49
,2022-11-25 08:11
看看p,2022-11-25 08:11
+3,2022-11-25 08:43
,2022-11-25 09:27
+叁,2022-11-25 10:17
坚守到最后一刻,2022-11-25 10:50
,2022-11-25 11:52
,2022-11-25 11:55
,2022-11-25 12:06
,2022-11-25 12:47
3,2022-11-25 13:30
3,2022-11-25 14:28
,2022-11-25 14:37
回湖南要隔离吗,2022-11-25 14:44
,2022-11-25 14:46
,2022-11-25 14:48
,2022-11-25 16:42
,2022-11-25 19:02
,2022-11-25 19:59
,2022-11-25 21:59
3,2022-11-25 22:55
3,2022-11-26 00:41
,2022-11-26 01:01
,2022-11-26 06:30
,2022-11-26 07:31
看看p,2022-11-26 17:18
捞翔捏,2022-11-28 17:09
,2022-11-29 08:21
看看香P,2022-11-29 09:28
,2022-11-29 09:39
,2022-12-03 18:14
,2022-12-04 00:59
好看,2022-12-09 00:37
你好，能帮我联系一位想当家教的同学吗？孩子今年高三，需要一位咱郑州大学的同学做家教。我电话是18838269152.13526676783.谢谢您 ！,2023-02-20 11:41
,2023-02-21 19:45
#23考研#  23考研，想找水利工程专硕的学长学姐,2023-02-21 19:42
法硕非法学专业的话,2023-02-01 16:36
研三才把四级考过，怎么说？,2023-02-01 17:14
顶,2023-02-01 18:10
顶,2023-02-01 18:27
没有人吗,2023-02-02 19:28
求关注,2023-02-02 23:16
不一定，但是这是很大劣势,2023-02-08 14:44
分院吧，我也没过照样录了,2023-02-08 15:11
,2023-02-21 19:35
有没有发展与教育研究生学长学姐推荐一下导师，以及联系方式,2023-02-21 19:34
,2023-02-21 19:15
,2023-02-21 19:10
各位帅鼠鼠是怎么在学校找到女朋友的？,2023-02-20 22:01
学校发的,2023-02-20 22:18
开学扫码领的,2023-02-20 22:22
租借的,2023-02-21 01:15
在游戏里找虚拟女友,2023-02-21 08:52
室友,2023-02-21 12:02
不会都没吧,2023-02-21 12:16
有的话还会在8里水经验,2023-02-21 13:11
你的名字就不适合找对象了,2023-02-21 17:36
130G流量,2023-02-21 18:01
怎么解决啊兄弟们,2023-02-17 10:38
顶,2023-02-17 13:16
狠狠顶,2023-02-17 13:16
重置网络适配器,2023-02-17 16:21
我也是啊，更新了个最新win11预览版，就找不到网卡了，但是网卡驱动都在,2023-02-20 11:53
你解决了没,2023-02-20 12:03
,2023-01-19 21:29
可以的吧,2023-02-20 14:23
谁又不是双非呢,2023-02-20 14:28
双非可以考，不过导师比较喜欢本校的,2023-02-21 16:34
不知道去哪里，咱们可以一起，看看哪比较好,2023-02-21 17:48
,2023-02-21 17:43
有没有先研院学有机的学姐学长们啊,2023-02-21 12:57
先研院貌似调剂分数很高,2023-02-21 17:37
郑大在职复试，有没有一起的小伙伴？,2023-02-21 17:10
郑大在职考研复试资料,2023-02-21 17:16
郑大在职研究生公共管理硕士推荐导师,2023-02-21 17:19
想问一下有关复试和导师的问题,2023-02-21 11:14
同求,2023-02-21 14:09
同求,2023-02-21 17:17
郑州本地家教！时薪40~500r，有需要的可以d，有现单,2023-02-21 16:56
有没有程敬亮老师的研究生，成绩不错。有没有人能牵个线，可能能成为同门师兄弟,2023-02-21 16:32
有人认识程老师的研究生吗，必有重谢,2023-02-21 16:38
,2023-02-20 10:09
寒武纪的鱼,2023-02-20 10:36
,2023-02-20 10:41
我爱郑大,2023-02-20 10:45
论文质量还有空间,2023-02-20 10:47
嘤嘤嘤,2023-02-20 10:59
赢！,2023-02-20 11:10
天天win是吧,2023-02-20 11:26
天天赢😄，怎么还没超越四川大学？,2023-02-20 12:42
垃圾学校都是天天赢也进不了前二十😄,2023-02-20 12:42
,2023-02-20 14:14
win win win,2023-02-20 15:09
吧都没了，还赢呢,2023-02-20 17:03
你郑哪次不赢！,2023-02-20 17:28
毕业季二手物品交流群：lhlh369,2023-02-20 17:53
好好好,2023-02-20 18:09
✌榜是吧,2023-02-20 18:30
我华水呢,2023-02-21 07:42
,2023-02-21 12:13
赢麻，官公号也天天发，要不是我是这个学校毕业的，还就真信了,2023-02-21 13:11
+3,2023-02-21 16:19
兄弟姐妹们，考研出成绩了，化学专业有没有人给讲一下老师，球球了#考研成绩#,2023-02-21 15:21
大概是毕业前夕，有一个科研助理的事情，导员会给你分析这，分析那。实际上就是学校提高就业率和保证生源，我报名的时候，是按照绩点高低来分的。辅导员讲的是只要进了科研助理考研考本校，过了复试线就要，而且科研助理有一年的工作日程，算到你的研究生里面，只需要上两年就毕业。实际上在8，9月份，会有人让你签个合约，前半年是没有事给你做的，也没有工资，让你专心复习。等到分数下来以后，跟你说其实不是免复试，你还要进行复试，只不过比别人有优势，优势在哪，他也说不上来。最终还是看分数，只能说优点就是免一年上学，其他没了。,2023-02-21 14:00
希望各位学长学姐看到后可以联系我一下，真的有偿问答！不要机构，只要学长学姐,2023-02-21 14:38
路过帮顶,2023-02-21 14:59
,2023-02-21 14:04
苏承国老师，水利水电专业(主攻风光储等新能源联合调度),2023-02-21 14:48
求求材料与化工的学长学姐，查完成绩后对复试很焦虑，想找个学长学姐咨询咨询复试以及导师情况，有偿❤️❤️❤️。,2023-02-21 14:24
,2022-02-12 01:39
23加油 22复试资料在里面,2022-02-12 02:09
,2022-02-12 02:09
复试必胜！,2023-02-21 14:20
,2023-02-18 13:53
救救孩子吧,2023-02-18 13:53
考上了告诉我一声,2023-02-20 18:42
帮顶,2023-02-21 14:08
,2020-10-18 10:02
,2022-01-01 11:16
23复试资料在里面 24初试加油！,2023-02-12 13:25
不是pz不是pw不是黄牛，诚信交易，有事去不了了，可走咸鱼！,2023-02-21 10:49
不错不错,2023-02-21 13:20
求助郑州大学应用心理考研学长学姐，孩子焦虑死啦！或者郑州大学的考研群也行啊啊啊！,2023-02-20 14:54
可以介绍,2023-02-20 15:20
不错,2023-02-21 13:20
,2022-12-17 13:38
,2022-12-17 15:24
,2022-12-18 10:47
,2022-12-18 12:38
混进来了一个奇怪的东西,2022-12-18 12:54
一步登天,2022-12-18 13:03
除了7我都愿意,2022-12-18 15:06
win,2022-12-18 17:51
,2022-12-18 18:01
除了567都愿意,2022-12-18 21:53
,2023-02-21 12:18
专业，可免费咨询,2023-02-21 12:16
急求大家帮忙填个调查问卷，我发誓不是广告，不是诈骗，是大学生的作业，要完成不了了😭😭😭😭，谢谢大家,2023-02-21 10:10
好似,2023-02-21 12:16
三室的房子，郑大北门，结果朋友不考了😭😭😭，现在空出来两间，有没有考试的，一起租住，我是女生，希望都是女生，15660919110,2023-02-21 12:12
如题，有学弟愿意出私我就行,2023-01-08 13:19
,2023-01-08 13:21
什么是出入码,2023-01-08 14:12
正确的,2023-01-24 17:26
现在出入码每天生成不同随机数，每天背景颜色不同，还得闪烁,2023-01-30 02:54
楼主进去了吗？怎么操作的，同样想进去跑步的飘过。,2023-02-17 15:51
085600材料与化工复试资料需要d我,2023-02-21 11:52
,2023-02-20 18:42
dd,2023-02-21 11:49
,2023-01-31 18:04
3,2023-01-31 18:37
好好好,2023-01-31 22:35
3,2023-02-01 15:39
好，不过我想稍作修改，命郑州大学为985大学。,2023-02-01 16:03
,2023-02-01 16:17
支持,2023-02-02 08:02
好好好,2023-02-02 12:23
,2023-02-02 14:46
,2023-02-03 14:44
早该这样了,2023-02-03 15:56
,2023-02-03 16:12
好好好,2023-02-03 16:41
+3,2023-02-03 18:54
玩原神玩的,2023-02-03 19:34
好似,2023-02-03 21:02
🍾🍾🍾🍾🍾,2023-02-03 23:24
提前毕业发证,2023-02-04 06:18
md 我还以为是真的,2023-02-04 14:43
,2023-02-04 19:11
666,2023-02-07 16:51
烂活,2023-02-07 17:48
,2023-02-07 20:14
假的,2023-02-09 08:28
郑大不过是畸形年代的一个畸形产物，关门也罢,2023-02-09 08:32
666,2023-02-09 09:30
依托答辩,2023-02-09 11:41
前一阵，老师发不出工资，这事怎么处理的？,2023-02-09 17:29
好,2023-02-09 18:15
3,2023-02-10 15:11
有意向私信,2023-02-21 10:29
请问一个专业代码下有全日制和非全日制，查分查出的排名是一起排的吗？,2023-02-21 10:26
吧友们，收机械制造工艺学复试资料，有的话可以联系我,2023-02-20 19:23
我这里有怎么联系,2023-02-20 22:41
外校生可进郑大不,2023-02-20 21:26
可以,2023-02-20 21:39
可以，爬着进,2023-02-20 21:41
偷偷进，有时候门口保安会发疯看你的进去码，低调点进,2023-02-20 21:43
看保安心情,2023-02-21 08:26
不知道,2023-02-21 08:54
,2023-02-14 11:46
23复试加油 24考研加油！,2023-02-14 13:03
,2023-02-14 13:03
复试必胜！,2023-02-21 08:10
RT,2023-02-20 11:09
互通是什么意思,2023-02-20 11:57
可以的，扫个码就进来了,2023-02-20 19:41
🉑,2023-02-21 07:42
可,2023-02-21 08:02
一哥们捧着花在16楼下快站了一天了~~,2016-05-21 17:04
看到了,2016-05-21 17:05
好牛逼的感觉,2016-05-21 17:11
还在啊,2016-05-21 17:14
16楼？哪个园？,2016-05-21 17:16
圆形广场坐上是几号楼,2016-05-21 17:31
这个爱情看不得坚持不坚持，不喜欢就不可能喜欢，不过坚持下去还不错，会明白的,2016-05-21 17:34
我去，还在那。。,2016-05-21 17:34
,2016-05-21 17:35
照片,2016-05-21 17:35
这就是年少的时候的爱情吧，或许以后有人为你花大把的钱，可在楼下晒一天的人很少,2016-05-21 17:40
经过他旁边三次 只能说这孩子真痴情可惜是愚痴,2016-05-21 17:40
现在还在，晒黑了都,2016-05-21 17:41
来来来，图片来了，吧友拍的，,2016-05-21 17:42
给你们上张图,2016-05-21 17:43
这哥们还在,2016-05-21 17:43
啧啧啧，都是爱情,2016-05-21 17:46
666,2016-05-21 17:49
长得怎么样,2016-05-21 17:57
那哥们旁边有很多水，看来大家还是蛮有爱心的,2016-05-21 18:04
不值得,2016-05-21 18:12
"这个6,可以的兄弟",2016-05-21 18:21
为这哥们点赞,2016-05-21 18:30
毅力💯啊,2016-05-21 18:41
站一天。。。。,2016-05-21 18:44
还在不在,2016-05-21 19:03
还在,2016-05-21 19:07
真不是道歉来的?,2016-05-21 19:09
逼婚,2016-05-21 19:10
偶像，换我做不到,2016-05-21 19:23
我就知道扣1有用😭😭😭,2023-02-20 17:45
好好好,2023-02-20 18:02
发生甚么事了,2023-02-20 19:43
one one one,2023-02-20 21:45
,2023-02-20 16:18
个人原因，买错了，换票也可以,2023-02-20 16:19
原价出两张588连坐,2023-02-20 21:14
有没有哪个吧友选的也是这个侵权责任法，我在慕课软件里面认证需要那个认证码，但是不知道，这个是要找辅导员问吗？还是什么其他的,2023-02-20 20:22
同问,2023-02-20 20:47
六个1，基本上都是这个,2023-02-20 21:04
出校门看出入码不,2023-02-19 12:52
顶,2023-02-19 12:54
顶,2023-02-19 13:36
顶,2023-02-19 13:51
东门出去不看,2023-02-19 16:52
出门不看，入校要看,2023-02-20 19:47
请教，大一新生期末考试，考号格式写错了，考号没错，对成绩有影响吗？,2023-02-19 15:43
什么是考号格式写错了，是大英吗？问你们老师，应该问题不大,2023-02-20 19:46
保卫处是不是会把停在教学区的自行车拉走？,2023-02-19 22:46
是。往教学区去的路口上都放着牌子写核心教学区不能骑车，为啥还要往里面停,2023-02-20 19:45
毕业几年了，想回去看看,2023-02-20 05:32
找个在校生要个扫码的截图就行了,2023-02-20 19:42
如题,2023-02-20 11:57
我们实变老师,2023-02-20 19:40
,2023-02-16 15:31
,2023-02-16 15:41
哇哦雅迪,2023-02-16 15:43
,2023-02-16 15:43
有木有人？,2023-02-20 14:32
,2023-02-13 13:40
你好，我想买电动车，微信15903687970,2023-02-20 18:03
我想问一下期末考试那个考号没按要求写会不会直接零分啊😱 有没有啥办法啊,2023-02-19 12:26
,2023-02-20 00:07
不会，有名字，找得到你,2023-02-20 17:48
rt，是寄不是收。如果不能寄，那学校里哪里可以寄呢？,2023-02-20 15:57
如题 8元一份 我在郑大南校区附近~有意者跟帖 好像不是最新的 但是真题量足够,2023-02-19 15:48
自己顶下,2023-02-20 15:18
文件说是2018 7.1起原学位证政策废止 不知道对15级适用不,2019-01-19 22:41
感觉15级夹在新政策和旧政策之间 不知道到底用哪个..,2019-01-19 22:42
问辅导员他说让我问教务处 教务处也没人接电话 醉了,2019-01-19 22:44
额 有人知道吗,2019-01-19 22:52
晚安,2019-01-20 00:07
用进校时的政策,2019-01-20 00:09
有用应该是,2019-01-20 01:22
15级用以前的吧,2019-01-20 17:34
取消清考哪儿开始的，楼主想想,2019-01-20 18:16
15级按以前的，学位重修的都懂,2019-01-20 21:44
新政策是挂四科且平均G点2.0以下没学位证,2019-01-20 22:21
那现在15级有没有创新学分？,2019-01-20 22:45
同问？？？,2019-05-04 01:19
所以，学长，你们最后按的哪个政策?,2023-02-20 14:54
求郑州大学心理专硕学姐学长，孩子要焦虑死啦！,2023-02-20 14:26
,2023-02-20 14:47
,2023-02-20 07:32
学校不是有🐴,2023-02-20 13:54
,2023-02-19 17:54
🆙,2023-02-19 22:16
欢迎各位投递，有郑州的岗位。在科学校区附近赛微产业园。工资也是郑州天花板了，公司有不少郑大校招进来的。,2022-08-30 12:16
华三确实可以，首先考虑易盛吧不行了再去华三,2022-08-30 12:31
只要宇宙机是吧😭😭,2022-08-30 13:39
求捞,2023-02-18 12:02
,2023-02-18 13:22
,2023-02-18 13:39
,2023-02-18 14:15
,2023-02-18 14:26
,2023-02-18 14:49
,2023-02-18 15:24
,2023-02-18 15:25
,2023-02-18 15:27
,2023-02-18 15:52
,2023-02-18 16:05
,2023-02-18 16:47
,2023-02-18 17:13
,2023-02-18 17:26
,2023-02-18 17:30
,2023-02-18 17:50
,2023-02-18 17:54
,2023-02-18 18:34
,2023-02-18 19:15
积分方程不会，这类型的全空了,2023-02-18 19:33
,2023-02-18 20:35
微积分II更恶心,2023-02-18 21:24
同学给我发一下学号姓名，我留意一下,2023-02-19 08:51
,2023-02-19 09:00
哦豁,2023-02-19 10:36
,2023-02-19 12:51
,2023-02-19 15:52
,2023-02-19 22:07
建议用这个,2023-02-19 22:23
,2023-02-20 12:00
如题,2023-02-20 12:07
友友们，我是工大的，可以进来郑大吗？,2023-02-20 10:59
借个号扫码就能进,2023-02-20 11:57
,2023-02-15 22:33
支持楼主打∠，楼主一年打365天不在话下，,2023-02-15 22:57
什么超人，连续212天还那么浓,2023-02-15 23:05
玩原神玩的,2023-02-15 23:38
这个是多老的新闻了,2023-02-15 23:47
,2023-02-16 00:02
,2023-02-16 06:49
,2023-02-16 08:00
年轻就是好啊,2023-02-16 08:04
邪淫,2023-02-16 08:14
,2023-02-16 08:49
,2023-02-16 09:06
是我捏,2023-02-16 10:14
谁家女孩叫牛大荣啊,2023-02-16 10:22
机关枪啊，不怕炸膛了用不成了？,2023-02-16 17:49
你可以试试喵,2023-02-16 20:56
,2023-01-27 18:21
输麻了,2023-01-27 21:02
输输输,2023-01-27 21:23
别急别急，我们可能是那部分中风险大学没有被列出来的，这下又可以赢了,2023-01-27 22:00
难蚌,2023-01-27 22:36
,2023-01-27 23:07
戳辣，郑带是高风险地区,2023-01-27 23:12
,2023-01-27 23:31
大连民族大学是高风险？？就是因为有个民族是吧,2023-01-28 00:52
,2023-01-28 07:21
,2023-01-28 08:54
什么dinner竟然还会做EXCEL,2023-01-28 12:07
河科大都中风险，输,2023-01-28 12:08
无锁胃，我是FW,2023-01-28 12:17
卧槽，隔壁沈理这么牛？,2023-01-28 15:07
郑带收到🇺🇸人的认可，可以去留学了，win,2023-01-28 16:25
杭电没有威胁，可以给霉菌带路,2023-01-28 16:31
有白衣在，任何霉菌都将被绳之以法,2023-01-29 02:48
郑大不是大专吗,2023-01-29 13:26
清北都不算啥威胁,2023-01-30 14:35
QQ好友求加：3518697170。可聊天可解闷！,2023-01-31 19:30
给郑✌请安了,2023-01-31 19:56
,2023-02-02 22:10
这多好，打不到咱这,2023-02-08 15:30
,2023-02-10 15:17
家人们谁懂,2023-02-20 10:41
,2023-02-20 11:16
有没有公共管理学院国际政治科目的学长学姐呀，想问下考试要看的专业书,2020-10-12 12:45
真题资料也可。对这个专业感兴趣，想考这个。辛苦学长学姐了,2020-10-12 12:46
滴滴,2020-10-13 21:30
请问楼主上岸了吗，祝好，我也是24郑大国际政治专业考研人，求学长学姐交流,2023-02-20 09:12
咱们什么时候升大学啊改名啊🤔看省内高校最近都在关注这个,2023-02-19 20:22
醒醒咱们是驾校,2023-02-19 21:43
郑穆斯特丹大学改名在进行了,2023-02-20 00:53
本人在惠济区双桥花卉市场，想找学校内的同学在校内摆摊卖花，花筒板车包括鲜花我可以提供，有兴趣的可以找我聊聊，手机号:18053866001（同微信）,2023-02-19 23:24
,2022-06-12 16:16
怎么样,2023-02-19 21:38
如题,2023-02-19 17:04
随便进,2023-02-19 17:30
欢迎学长,2023-02-19 19:31
,2023-02-19 19:17
,2023-02-17 13:17
dd,2023-02-17 16:59
,2023-02-17 23:00
烧麦,2023-02-19 18:52
新校区附近合租啦。有兴趣聊一聊哈哈哈,2023-02-19 18:14
兄弟们，问一下咱线代有平时分么,2023-02-19 11:58
不知道啊 有的人说有2.30分 有的人说没有 搞不清楚,2023-02-19 17:13
,2023-02-15 11:24
,2023-02-15 11:49
就业平台上好像给的7~10k,2023-02-15 14:57
硕士10K。。。,2023-02-15 17:09
顶一下,2023-02-15 23:19
哪里的？郑州的么,2023-02-16 00:06
